rodzaj;kod pocztowy;miasto;ulica;Lat;Long
STM;14-230;ZALEWO;TRAUGUTTA 15;53.847256;19.608884
POZ;13-300;GWIèDZINY;GWIèDZINY 4;53.39518;19.64235
AOS;14-400;PAS£ K;JAGIE££Y 27;54.06321;19.658105
POZ;14-400;PAS£ K;JAGIE££Y 27;54.06321;19.658105
ZPO;14-400;PAS£ K;JAGIE££Y 27;54.06321;19.658105
ZPO;14-400;PAS£ K;BANKOWA 24;54.06248;19.658576
RTM;14-400;PAS£ K;BANKOWA 25;54.062652;19.659401
AOS;14-400;PAS£ K;PI£SUDSKIEGO 5;54.062125;19.66106
AOS;14-400;PAS£ K;PLAC GRUNWALDZKI 8;54.058577;19.664693
AOS;14-400;PAS£ K;PLAC GRUNWALDZKI 8/71;54.058577;19.664693
AOS;14-400;PAS£ K;PL. GRUNWALDZKI 8;54.058577;19.664693
POZ;14-400;PAS£ K;PLAC GRUNWALDZKI 8;54.058577;19.664693
PSY;14-400;PAS£ K;PL. GRUNWALDZKI 8;54.058577;19.664693
SPO;14-400;PAS£ K;PL. GRUNWALDZKI 8;54.058577;19.664693
STM;14-400;PAS£ K;PLAC GRUNWALDZKI 8;54.058577;19.664693
STM;14-400;PAS£ K;PLAC GRUNWALDZKI 8/73;54.058577;19.664693
ZPO;14-400;PAS£ K;PL. GRUNWALDZKI 8;54.058577;19.664693
AOS;14-400;PAS£ K;KOPERNIKA 24 A;54.062057;19.664839
REH;14-400;PAS£ K;KOPERNIKA 24 A;54.062057;19.664839
AOS;14-400;PAS£ K;KOPERNIKA 24A;54.062394;19.6649
POZ;14-400;PAS£ K;KOPERNIKA 24A;54.062394;19.6649
REH;14-400;PAS£ K;KOPERNIKA 24A;54.062394;19.6649
SPO;14-400;PAS£ K;KOPERNIKA 24A;54.062394;19.6649
SZP;14-400;PAS£ K;KOPERNIKA 24A;54.062394;19.6649
ZPO;14-400;PAS£ K;PL. GRUNWALDZKI 9;54.058476;19.665064
OPH;14-400;PAS£ K;PLAC GRUNWALDZKI 6;54.058602;19.666077
ZPO;14-400;PAS£ K;PLAC GRUNWALDZKI 6;54.058602;19.666077
POZ;14-241;RUDZIENICE;SPORTOWA 5;53.631419;19.666464
STM;14-241;RUDZIENICE;SPORTOWA 5;53.631419;19.666464
POZ;14-400;ZIELONKA PAS£ CKA;BRAK 68;54.070993;19.666711
ZPO;14-400;PAS£ K;OGRODOWA 15/A;54.05719;19.667857
AOS;14-400;PAS£ K;11 LISTOPADA 3;54.058726;19.671209
STM;14-400;PAS£ K;11 LISTOPADA 3;54.058726;19.671209
PSY;14-530;FROMBORK;SANATORYJNA 1;54.352794;19.679272
REH;14-530;FROMBORK;SANATORYJNA 1;54.352794;19.679272
ZPO;14-530;FROMBORK;RYBACKA 6/A;54.358421;19.680548
POZ;14-530;FROMBORK;KATEDRALNA 9;54.35635;19.684679
POZ;14-530;FROMBORK;M£YNARSKA 4A/4;54.354546;19.684741
STM;14-530;FROMBORK;M£YNARSKA 4;54.35448;19.685236
POZ;14-230;BORECZNO;20;53.778939;19.686653
STM;14-400;ZIELONKA PAS£ CKA;1;54.002677;19.694659
POZ;13-308;MROCZNO;MROCZNO 14;53.352160;19.702690
STM;13-308;MROCZNO;14;53.352979;19.7055862
RTM;14-420;M£YNARY;1-GO MAJA 21;54.186317;19.720409
AOS;14-405;M£YNARY;DWORCOWA 33;54.186575;19.732328
POZ;14-405;M£YNARY;DWORCOWA 33;54.186575;19.732328
STM;14-420;M£YNARY;DWORCOWA 33;54.186575;19.732328
ZPO;14-420;M£YNARY;DWORCOWA 32B;54.186711;19.73377
AOS;14-330;MA£DYTY;PRZEMYS£OWA 10;53.920837;19.741024
POZ;14-330;MA£DYTY;PRZEMYS£OWA 10;53.920837;19.741024
PRO;14-330;MA£DYTY;PRZEMYS£OWA 10;53.920837;19.741024
STM;14-330;MA£DYTY;PRZEMYS£OWA 10;53.920837;19.741024
POZ;14-260;LUBAWA;GDA—SKA 25;53.501558;19.743746
ZPO;14-330;MA£DYTY;KOPERNIKA 7;53.91991;19.745279
POZ;14-330;MA£DYTY;KOPERNIKA 13C;53.921824;19.745543
STM;14-300;MA£DYTY;KOPERNIKA 13C;53.921824;19.745543
ZPO;14-260;LUBAWA;GDA—SKA 17;53.50151;19.74616
ZPO;14-260;LUBAWA;2;53.501147;19.746746
AOS;14-260;LUBAWA;POZNA—SKA 6;53.503254;19.747242
RTM;14-260;LUBAWA;POZNA—SKA 6;53.503254;19.747242
POZ;14-330;MA£DYTY;SZKOLNA 9;53.918168;19.748248
REH;14-260;LUBAWA;MIESZKA I 9;53.50032;19.74867
STM;14-330;MA£DYTY;SZKOLNA 7;53.918326;19.748777
AOS;14-260;LUBAWA;RZEPNIKOWSKIEGO 20;53.501367;19.749122
OPH;14-260;LUBAWA;RZEPNIKOWSKIEGO 20;53.501367;19.749122
POZ;14-260;LUBAWA;RZEPNIKOWSKIEGO 20;53.501367;19.749122
POZ;14-260;LUBAWA;RZEPNIKOWSKIEGO 20/114;53.501367;19.749122
REH;14-260;LUBAWA;RZEPNIKOWSKIEGO 20;53.501367;19.749122
STM;14-260;LUBAWA;RZEPNIKOWSKIEGO 20;53.501367;19.749122
STM;14-260;LUBAWA;RZEPNIKOWSKIEGO 20/116;53.501367;19.749122
ZPO;14-260;LUBAWA;RZEPNIKOWSKIEGO 20;53.501367;19.749122
SPO;14-260;LUBAWA;GRUNWALDZKA 11;53.506148;19.749326
ZPO;14-260;LUBAWA;RYNEK 6/22;53.504542;19.749504
ZPO;14-260;LUBAWA;RYNEK 20;53.503742;19.750122
POZ;14-260;LUBAWA;RZEPNIKOWSKIEGO 7;53.501556;19.751085
AOS;13-324;NOWE GRODZICZNO;NOWE GRODZICZNO 17B;53.412317;19.757535
POZ;13-324;NOWE GRODZICZNO;NOWE GRODZICZNO 17B;53.412317;19.757535
PRO;13-324;NOWE GRODZICZNO;NOWE GRODZICZNO 17B;53.412317;19.757535
REH;13-324;NOWE GRODZICZNO;NOWE GRODZICZNO 17B;53.412317;19.757535
STM;13-324;NOWE GRODZICZNO;NOWE GRODZICZNO 17B;53.412317;19.757535
POZ;14-260;ROØENTAL;- 123A;53.566961;19.769385
STM;14-260;ROØENTAL;123A;53.566961;19.769385
POZ;14-300;SZYMANOWO;2;53.85987;19.77136
POZ;14-330;SZYMONOWO;15;53.859476;19.776828
POZ;14-140;BYNOWO;7;53.766429;19.784487
POZ;14-260;PR•TNICA;NR 54;53.477133;19.810039
STM;14-260;PR•TNICA;54;53.477133;19.810039
POZ;14-100;SAMBOROWO;OSTR”DZKA 37;53.666992;19.813629
POZ;14-526;CHRUåCIEL;27;54.266214;19.814583
POZ;14-500;BRANIEWO;PCK 4;54.384023;19.815345
AOS;13-230;LIDZBARK;BRZOZOWA 10;53.259475;19.816669
POZ;13-230;LIDZBARK;BRZOZOWA 10;53.259475;19.816669
REH;13-230;LIDZBARK;BRZOZOWA 10;53.259475;19.816669
RTM;13-230;LIDZBARK;BRZOZOWA 10;53.259475;19.816669
STM;13-230;LIDZBARK;BRZOZOWA 10;53.259475;19.816669
STM;13-230;LIDZBARK;BRZOZOWA 10/205;53.259475;19.816669
ZPO;13-230;LIDZBARK;BRZOZOWA 10;53.259475;19.816669
PSY;14-500;BRANIEWO;PLAC GRUNWALDU 18;54.382893;19.816732
POZ;13-230;LIDZBARK;GARBUZY 20;53.264746;19.817099
ZPO;14-500;BRANIEWO;ELBLASKA 6;54.379742;19.818655
STM;14-500;BRANIEWO;ELBL•SKA 4/2A;54.379697;19.81893
POZ;14-500;BRANIEWO;SIKORSKIEGO 15;54.377435;19.819819
POZ;13-230;LIDZBARK;NOWA 10;53.261364;19.820548
STM;14-500;BRANIEWO;MONIUSZKI 2F;54.379063;19.820722
AOS;13-230;LIDZBARK;PODG”RNA 1;53.26281;19.821314
STM;13-230;LIDZBARK;PODG”RNA 1;53.26281;19.821314
ZPO;13-230;LIDZBARK;ZIELU—SKA 42/F;53.254347;19.821812
POZ;13-230;KIE£PINY;KIE£PINY 7;53.346018;19.821928
ZPO;13-230;LIDZBARK;PLAC HELLERA 10;53.263231;19.822127
AOS;13-230;LIDZBARK;ZIELU—SKA 25;53.255;19.822189
REH;13-230;LIDZBARK;ZIELU—SKA 25;53.255;19.822189
OPH;14-500;BRANIEWO;GDA—SKA 19;54.381471;19.82291
POZ;14-500;BRANIEWO;GDA—SKA 19;54.381471;19.82291
SPO;14-500;BRANIEWO;GDA—SKA 19;54.381471;19.82291
ZPO;14-500;BRANIEWO;GDA—SKA 19;54.381471;19.82291
PSY;14-100;KAJKOWO;SZKOLNA 1;53.66332;19.82311
SPO;14-100;KAJKOWO;SZKOLNA 1;53.66332;19.82311
AOS;14-500;BRANIEWO;STEFCZYKA 11;54.36727;19.82315
POZ;14-500;BRANIEWO;STEFCZYKA 11;54.36727;19.82315
PSY;14-500;BRANIEWO;STEFCZYKA 11;54.36727;19.82315
REH;14-500;BRANIEWO;STEFCZYKA 11;54.36727;19.82315
STM;14-500;BRANIEWO;STEFCZYKA 11;54.36727;19.82315
AOS;14-500;BRANIEWO;GDA—SKA 21A;54.381575;19.823218
STM;14-500;BRANIEWO;GDA—SKA 21A;54.381575;19.823218
ZPO;13-230;LIDZBARK;NOWY RYNEK 2;53.262116;19.823587
AOS;14-500;BRANIEWO;GDA—SKA 26;54.381877;19.824293
POZ;14-500;BRANIEWO;MONIUSZKI 22A;54.376857;19.82444
POZ;14-500;BRANIEWO;MONIUSZKI 22;54.376946;19.82457
POZ;14-140;LIWA;D£UGA 30;53.729815;19.824833
POZ;13-230;LIDZBARK;DZIA£DOWSKA 13;53.262616;19.826168
ZPO;13-230;LIDZBARK;PIASKI 1;53.262839;19.826183
ZPO;13-230;LIDZBARK;JELE—SKA 23;53.266407;19.827898
POZ;13-230;LIDZBARK;PRZEMYS£OWA 1;53.262263;19.828153
AOS;14-500;BRANIEWO;MONIUSZKI 13;54.374806;19.829307
POZ;14-500;BRANIEWO;MONIUSZKI 13;54.374806;19.829307
PSY;14-500;BRANIEWO;MONIUSZKI 13;54.374806;19.829307
REH;14-500;BRANIEWO;MONIUSZKI 13;54.374806;19.829307
RTM;14-500;BRANIEWO;MONIUSZKI 13;54.374806;19.829307
SPO;14-500;BRANIEWO;MONIUSZKI 13;54.374806;19.829307
SZP;14-500;BRANIEWO;MONIUSZKI 13;54.374806;19.829307
STM;14-500;BRANIEWO;KOåCIUSZKI 12B/03;54.38364;19.829468
POZ;14-500;BRANIEWO;KR”LEWIECKA 13;54.38582;19.829468
AOS;14-500;BRANIEWO;KR”LEWIECKA 26;54.385495;19.82984
POZ;14-500;BRANIEWO;KR”LEWIECKA 26;54.385495;19.82984
POZ;14-500;BRANIEWO;KONARSKIEGO 13;54.384626;19.831718
POZ;14-300;KALNIK;69;53.998148;19.831836
POZ;14-140;MI£OM£YN;PAS£ CKA 15;53.763678;19.832061
ZPO;14-500;BRANIEWO;KOåCIUSZKI 63;54.382852;19.832189
ZPO;14-500;BRANIEWO;KOåCIUSZKI 66;54.382487;19.832398
AOS;14-500;BRANIEWO;KOåCIUSZKI 70;54.382382;19.833166
POZ;14-100;LIPOWO;-;53.585178;19.834177
AOS;14-500;BRANIEWO;ØEROMSKIEGO 14 A;54.387267;19.834255
POZ;14-500;BRANIEWO;ØEROMSKIEGO 14 A;54.387267;19.834255
REH;14-500;BRANIEWO;ØEROMSKIEGO 14 A;54.387267;19.834255
STM;14-500;BRANIEWO;ØEROMSKIEGO 14;54.387267;19.834255
POZ;14-500;BRANIEWO;KOåCIUSZKI 79;54.382202;19.835451
REH;14-500;BRANIEWO;KOåCIUSZKI 91B/1;54.381611;19.836233
POZ;14-140;MI£OM£YN;CICHA 2;53.761113;19.843092
STM;14-140;MI£OM£YN;CICHA 2;53.761113;19.843092
POZ;14-500;SZYLENY;SZYLENY;54.336847;19.871175
POZ;14-300;S£ONECZNIK;117;53.838744;19.879341
POZ;14-405;WILCZ TA;- 95;54.167754;19.885543
STM;14-405;WILCZ TA;95;54.167754;19.885543
POZ;14-100;TYROWO;- 41;53.672208;19.88799
POZ;14-407;GODKOWO;BRAK 62;54.078451;19.888577
STM;14-407;GODKOWO;62;54.07296;19.9124899
AOS;14-300;MOR•G;WINCENTEGO WITOSA 18;53.916564;19.912838
POZ;14-300;£•CZNO;48B;53.9439444;19.9149588
AOS;14-300;MOR•G;D•BROWSKIEGO 16;53.914924;19.921326
POZ;14-300;MOR•G;D•BROWSKIEGO 16;53.914924;19.921326
REH;14-300;MOR•G;D•BROWSKIEGO 16;53.914924;19.921326
RTM;14-300;MOR•G;D•BROWSKIEGO 16;53.914924;19.921326
SPO;14-300;MOR•G;D•BROWSKIEGO 16;53.914924;19.921326
SZP;14-300;MOR•G;D•BROWSKIEGO 16;53.914924;19.921326
ZPO;14-300;MOR•G;D•BROWSKIEGO 16;53.914924;19.921326
AOS;14-300;MOR•G;D•BROWSKIEGO 7;53.913166;19.924662
POZ;14-300;MOR•G;D•BROWSKIEGO 7;53.913166;19.924662
ZPO;14-300;MOR•G;D•BROWSKIEGO 7;53.913166;19.924662
PSY;14-300;MOR•G;DWORCOWA 13;53.918098;19.924989
POZ;14-300;MOR•G;53;53.9178462;19.9253936
POZ;14-300;MOR•G;KAJKI 2;53.915957;19.926136
ZPO;13-220;RYBNO;ZAJEZIORNA 60;53.383285;19.926273
POZ;14-300;MOR•G;ØEROMSKIEGO 26;53.924875;19.926724
AOS;13-220;RYBNO;ZAJEZIORNA 58;53.383166;19.926998
POZ;13-220;RYBNO;ZAJEZIORNA 58;53.383166;19.926998
REH;13-220;RYBNO;ZAJEZIORNA 58;53.383166;19.926998
STM;13-220;RYBNO;ZAJEZIORNA 58;53.383166;19.926998
AOS;14-300;MOR•G;PLAC JANA PAW£A II 3/24;53.911467;19.92797
ZPO;14-300;MOR•G;MICKIEWICZA 19;53.91356;19.928794
STM;14-300;MOR•G;OGRODOWA 23;53.913292;19.929054
POZ;14-100;PIETRZWA£D;94;53.5866;19.929578
POZ;14-300;MOR•G;MICKIEWICZA 25;53.912697;19.930186
AOS;14-300;MOR•G;11 LISTOPADA 1A;53.911477;19.930722
POZ;14-526;P£OSKINIA;9;54.269947;19.931216
STM;14-526;P£OSKINIA;9;54.269947;19.931216
AOS;14-300;MOR•G;WARMI—SKA 23;53.915564;19.932352
POZ;14-300;MOR•G;WARMI—SKA 23;53.915564;19.932352
PSY;14-300;MOR•G;WARMI—SKA 23;53.915564;19.932352
SPO;14-300;MOR•G;WARMI—SKA 23/19;53.915564;19.932352
STM;14-300;MOR•G;WARMI—SKA 23;53.915564;19.932352
ZPO;14-300;MOR•G;WARMI—SKA 23;53.915564;19.932352
POZ;14-300;MOR•G;11 LISTOPADA 7;53.913806;19.933543
ZPO;14-300;MOR•G;MICKIEWICZA 38 C/1;53.91135;19.933608
ZPO;14-300;MOR•G;KUJAWSKA 8;53.912672;19.933846
ZPO;14-300;MOR•G;MICKIEWICZA 42;53.910776;19.93528
POZ;14-300;MOR•G;KUJAWSKA 1;53.913779;19.935404
AOS;14-300;MOR•G;MICKIEWICZA 44A;53.910609;19.936564
POZ;14-300;MOR•G;MICKIEWICZA 44 A;53.910586;19.937181
ZPO;14-300;MOR•G;WR”BLEWSKIEGO 1A;53.907505;19.938013
POZ;14-526;P£OSKINIA;43;54.270942;19.938463
POZ;14-300;MOR•G;LEåNA 22;53.91271;19.93878
ZPO;14-100;OSTR”DA;UL. JARACZA 21;53.694509;19.941811
POZ;14-300;MOR•G;WR”BLEWSKIEGO 17;53.904904;19.942498
POZ;14-100;OSTR”DA;OSIEDLE M£ODYCH 8;53.693652;19.943774
STM;14-300;MOR•G;WIERZBOWA 16;53.905592;19.948258
POZ;14-100;OSTR”DA;11 LISTOPADA 39;53.698334;19.948628
POZ;14-100;OSTR”DA;SZOSA ELBL•SKA 19A;53.715377;19.95026
POZ;14-100;OSTR”DA;KOåCIUSZKI 22;53.695739;19.95583
STM;14-100;OSTR”DA;KOåCIUSZKI 22;53.695739;19.95583
POZ;14-100;OSTR”DA;KARD.WYSZY—SKIEGO 2;53.698925;19.956478
POZ;14-100;OSTR”DA;PIENI ØNEGO 14/4;53.696482;19.956966
AOS;14-100;OSTR”DA;G£OWACKIEGO 7;53.694128;19.957399
STM;14-100;OSTR”DA;JANA PAW£A II 16/33;53.699619;19.957457
ZPO;14-100;OSTR”DA;JANA PAW£A II 16/27;53.699619;19.957457
ZPO;14-100;OSTR”DA;JANA PAW£A II 9/7;53.698834;19.95759
POZ;14-300;BRAMKA;75;53.877769;19.957619
POZ;14-100;BRZYDOWO;27;53.634258;19.957782
POZ;13-230;STARE D£UTOWO;WOLNOåCI 2B;53.187301;19.958472
POZ;14-100;OSTR”DA;MICKIEWICZA 32;53.706549;19.959375
AOS;14-100;OSTR”DA;JANA PAW£A II 4;53.699534;19.959518
STM;14-100;OSTR”DA;CZARNIECKIEGO 2/4;53.700511;19.959708
AOS;14-100;OSTR”DA;TADEUSZA KOåCIUSZKI 2;53.703712;19.959939
POZ;14-100;OSTR”DA;TADEUSZA KOåCIUSZKI 2;53.703712;19.959939
PSY;14-100;OSTR”DA;TADEUSZA KOåCIUSZKI 2;53.703712;19.959939
REH;14-100;OSTR”DA;TADEUSZA KOåCIUSZKI 2;53.703712;19.959939
POZ;14-100;OSTR”DA;KOåCIUSZKI 14;53.696066;19.960045
AOS;14-100;OSTR”DA;MICKIEWICZA 11/1;53.702683;19.960513
ZPO;14-100;OSTR”DA;MICKIEWICZA 11/1;53.702683;19.960513
POZ;14-100;OSTR”DA;PIENI ØNEGO 30;53.69137;19.960833
ZPO;14-100;OSTR”DA;CZARNECKIEGO 15/II;53.698903;19.961748
POZ;14-100;OSTR”DA;OLSZTY—SKA 7;53.705316;19.961986
STM;14-100;OSTR”DA;OLSZTY—SKA 7;53.705316;19.961986
POZ;13-203;STARE D£UTOWO;D£UGA 61;53.189509;19.962305
ZPO;14-100;OSTR”DA;CZARNIECKIEGO 19/A;53.698275;19.962731
STM;14-100;OSTR”DA;SIENKIEWICZA 7;53.700145;19.962871
AOS;14-100;OSTR”DA;KOåCIUSZKI 2;53.696813;19.962919
OPH;14-100;OSTR”DA;KOåCIUSZKI 2;53.696813;19.962919
POZ;14-100;OSTR”DA;KOåCIUSZKI 2;53.696813;19.962919
POZ;14-100;OSTR”DA;KOåCIUSZKI 2/103;53.696813;19.962919
POZ;14-100;OSTR”DA;KOåCIUSZKI 2/218;53.696813;19.962919
SPO;14-100;OSTR”DA;KOåCIUSZKI 2;53.696813;19.962919
STM;14-100;OSTR”DA;KOåCIUSZKI 2/222;53.696813;19.962919
ZPO;14-100;OSTR”DA;KOåCIUSZKI 2;53.696813;19.962919
ZPO;14-100;OSTR”DA;KOåCIUSZKI 2/118A;53.696813;19.962919
STM;14-100;OSTR”DA;SIENKIEWICZA 9A/5;53.700189;19.963417
ZPO;14-100;OSTR”DA;CZARNIECKIEGO 21;53.697518;19.963612
POZ;14-100;OSTR”DA;CZARNIECKIEGO 26A/1;53.696228;19.964132
AOS;14-100;OSTR”DA;JANA III SOBIESKIEGO 3 C/44;53.695136;19.964256
AOS;14-100;OSTR”DA;JANA III SOBIESKIEGO 3C/63;53.695136;19.964256
POZ;14-100;OSTR”DA;JANA III SOBIESKIEGO 3C/42;53.695136;19.964256
POZ;14-100;OSTR”DA;JANA III SOBIESKIEGO 3C/44;53.695136;19.964256
PRO;14-100;OSTR”DA;JANA III SOBIESKIEGO 3 C/44;53.695136;19.964256
PSY;14-100;OSTR”DA;JANA III SOBIESKIEGO 3C/62;53.695136;19.964256
ZPO;14-100;OSTR”DA;JANA III SOBIESKIEGO 3B/29;53.695136;19.964256
ZPO;14-100;OSTR”DA;GRUNWALDZKA 6;53.697009;19.965167
AOS;14-100;OSTR”DA;GRUNWALDZKA 4;53.697628;19.965251
POZ;14-100;OSTR”DA;åW.DOMINIKA SAVIO 1;53.702373;19.965343
ZPO;14-100;OSTR”DA;CZARNIECKIEGO 32;53.693112;19.966076
POZ;11-034;RUå;RUå BRAK NR;53.839065;19.9664293
POZ;14-100;OSTR”DA;GRUNWALDZKA 14;53.69755;19.967171
STM;14-100;OSTR”DA;DRW CKA 5/8;53.699208;19.967535
POZ;14-100;OSTR”DA;PI£SUDSKIEGO 4;53.694513;19.968051
POZ;14-100;OSTR”DA;DRW CKA 2;53.698919;19.968256
ZPO;14-100;OSTR”DA;GRUNWALDZKA 16;53.697563;19.968544
POZ;14-100;OSTR”DA;CZARNIECKIEGO 69;53.688052;19.969823
POZ;14-100;OSTR”DA;SPORTOWA 1;53.694149;19.970801
POZ;14-100;OSTR”DA;RYCERSKA 5;53.69003;19.971407
REH;14-100;OSTR”DA;GRUNWALDZKA 19/A;53.695939;19.972494
AOS;14-100;OSTR”DA;JAGIE£LY 1;53.693455;19.975521
POZ;14-100;OSTR”DA;JAGIE£LY 1;53.693455;19.975521
REH;14-100;OSTR”DA;JAGIE£LY 1;53.693455;19.975521
RTM;14-100;OSTR”DA;JAGIE£LY 1;53.693455;19.975521
SZP;14-100;OSTR”DA;JAGIE£LY 1;53.693455;19.975521
SOK;14-100;OSTR”DA;JAGIE££Y 1;53.693455;19.975521
SZP;14-100;OSTR”DA;JAGIE££Y 1;53.693455;19.975521
POZ;13-207;KOSZELEWY;78;53.324637;19.976313
ZPO;14-100;OSTR”DA;PIASTOWSKA 5;53.691754;19.977699
POZ;14-500;LIPOWINA;7;54.342957;19.979325
STM;14-500;LIPOWINA;7;54.342957;19.979325
POZ;14-500;LIPOWINA;LIPOWINA;54.3439;19.98041
POZ;14-100;OSTR”DA;PLEBISCYTOWA 50;53.716328;19.984331
POZ;14-300;BOGACZEWO;83;53.912417;19.98737
POZ;14-300;ØABI R”G;1;53.860586;19.998053
POZ;13-206;P£OåNICA;LIPOWA 6;53.27061;20.003458
STM;13-206;P£OåNICA;LIPOWA 6;53.27061;20.003458
ZPO;13-206;P£OåNICA;LIPOWA 2;53.27245;20.008893
POZ;13-204;GR”DKI;GR”DKI 29;53.2280507;20.029669
POZ;13-204;GR”DKI;GR”DKI 30;53.2280507;20.029669
STM;14-120;D•BR”WNO;JEZIORNA 3;53.431116;20.034392
AOS;14-120;D•BR”WNO;OGRODOWA 2A;53.430584;20.036676
POZ;14-120;D•BR”WNO;OGRODOWA 2A;53.430584;20.036676
ZPO;14-310;MI£AKOWO;4;54.0039937;20.0377624
POZ;14-310;MI£AKOWO;17/2;54.0039937;20.0377624
POZ;13-206;NIECH£ONIN;NIECH£ONIN 93;53.177165;20.045543
STM;13-206;NIECH£ONIN; 93;53.177165;20.045543
POZ;14-100;ZWIERZEWO;36;53.708995;20.046439
POZ;11-130;BAØYNY;29;54.130637;20.047517
POZ;14-100;IDZBARK;30;53.676414;20.047841
POZ;14-106;DUR•G;-;53.628916;20.066421
REH;14-310;MI£AKOWO;DASZY—SKIEGO 20;54.009447;20.067799
POZ;14-106;SZYLDAK;SZKOLNA 12;53.619962;20.068868
STM;14-310;MI£AKOWO;JAGIE££Y 2A;54.009824;20.070825
ZPO;14-310;MI£AKOWO;WARSZAWSKA 5B/2;54.010017;20.072453
POZ;14-310;MI£AKOWO;KOPERNIKA 17;54.00821;20.079637
POZ;14-107;GIERZWA£D;56;53.540497;20.085103
RTM;14-107;GIERZWA£D;56;53.540497;20.085103
STM;14-107;GIERZWA£D;56;53.540497;20.085103
POZ;14-107;GIERZWA£D;35;53.539852;20.088291
ZPO;11-108;GIERZWA£D;57/14;53.545259;20.088551
POZ;14-105;£UKTA;WARSZAWSKA 17;53.803929;20.088983
POZ;14-105;£UKTA;WARSZAWSKA 17A/1;53.803929;20.088983
RTM;14-105;£UKTA;WARSZAWSKA 17A/1;53.803929;20.088983
STM;14-105;£UKTA;WARSZAWSKA 17A/1;53.803929;20.088983
ZPO;14-105;£UKTA;WARSZAWSKA 17A/1;53.803929;20.088983
POZ;13-214;TURZA WIELKA;TURZA WIELKA 57A;53.30918;20.090285
POZ;13-214;UZDOWO;UZDOWO 75;53.346203;20.10099
POZ;13-214;UZDOWO;UZDOWO 92;53.346203;20.10099
STM;13-214;UZDOWO;92;53.346203;20.10099
POZ;14-133;STARE JAB£ONKI;SPORTOWA 10/2;53.68989;20.103181
POZ;13-214;RUSZKOWO;RUSZKOWO 64;53.3847219;20.1194012
POZ;11-130;ORNETA;WARMI—SKA 11;54.116056;20.122497
POZ;13-214;RUSZKOWO;RUSZKOWO 1A;53.3820549;20.1231512
AOS;11-130;ORNETA;WOJSKA POLSKIEGO 57;54.114364;20.125233
RTM;14-520;PIENI ØNO;DWORCOWA 17B;54.237525;20.12617
SPO;14-520;PIENI ØNO;RYNEK 2;54.233736;20.126905
POZ;11-130;ORNETA;ZAMKOWA 26;54.115478;20.127969
ZPO;14-520;PIENI ØNO;GENERALSKA 7/1;54.239026;20.128418
SPO;11-130;ORNETA;KOåCIELNA 3;54.114963;20.129258
ZPO;14-520;PIENI ØNO;1 MAJA 3E;54.235985;20.129321
POZ;14-520;PIENI ØNO;GENERALSKA 4;54.239143;20.129446
REH;14-520;PIENI ØNO;GENERALSKA 4;54.239143;20.129446
STM;14-520;PIENI ØNO;GENERALSKA 4;54.239143;20.129446
ZPO;14-520;PIENI ØNO;GENERALSKA 4;54.239143;20.129446
ZPO;11-130;ORNETA;MOSTOWA 3/1;54.116076;20.129645
REH;11-130;ORNETA;1 MAJA 7/5;54.11538;20.13023
ZPO;11-130;ORNETA;1-GO MAJA 34;54.11538;20.13023
ZPO;11-130;ORNETA;PLAC WOLNOåCI 1;54.11551;20.131272
POZ;14-107;ST BARK;43;53.495035;20.132763
POZ;11-130;ORNETA;KOPERNIKA 13;54.115265;20.134931
RTM;11-130;ORNETA;MICKIEWICZA 16;54.117487;20.135449
AOS;11-130;ORNETA;1 MAJA 13;54.116597;20.135627
POZ;11-130;ORNETA;1 MAJA 13;54.116597;20.135627
AOS;11-130;ORNETA;WODNA 1;54.116145;20.136291
POZ;11-130;ORNETA;WODNA 1;54.116145;20.136291
REH;11-130;ORNETA;WODNA 1;54.116145;20.136291
STM;11-130;ORNETA;WODNA 1;54.116145;20.136291
ZPO;11-130;ORNETA;WODNA 1;54.116145;20.136291
POZ;11-130;ORNETA;1-GO MAJA 20;54.116338;20.136452
POZ;11-130;ORNETA;1-GO MAJA 28;54.116238;20.139054
POZ;14-107;ST BARK;56;53.492735;20.139334
POZ;13-200;KSI ØY DW”R;KSI ØY DW”R 32;53.21504;20.139865
POZ;13-200;BURKAT;BURKAT 46;53.27494;20.14586
AOS;13-200;DZIA£DOWO;LIDZBARSKA 33;53.232846;20.160686
POZ;13-200;DZIA£DOWO;LIDZBARSKA 33;53.232846;20.160686
PRO;13-200;DZIA£DOWO;LIDZBARSKA 33;53.232846;20.160686
STM;13-200;DZIA£DOWO;LIDZBARSKA 33;53.232846;20.160686
POZ;13-214;S£AWKOWO;S£AWKOWO 18;53.36312;20.16629
POZ;13-200;DZIA£DOWO;POLNA 11;53.230415;20.16748
STM;13-200;DZIA£DOWO;POLNA 11;53.230415;20.16748
POZ;13-200;DZIA£DOWO;GRUNWALDZKA 4;53.23791;20.171332
ZPO;13-200;DZIA£DOWO;SK£ODOWSKIEJ-CURIE 35;53.233621;20.171939
POZ;13-200;DZIA£DOWO;JAGIE££Y 33;53.23554;20.172262
SPO;13-200;DZIA£DOWO;KSIEØODWORSKA 23;53.23027;20.172943
AOS;13-200;DZIA£DOWO;SK£ODOWSKIEJ 20;53.234097;20.172986
REH;13-200;DZIA£DOWO;SK£ODOWSKIEJ 20;53.234097;20.172986
ZPO;13-200;DZIA£DOWO;POCZTOWA 9A;53.233474;20.175625
